waic,kld,log_score,crps,cdf_mad,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,job,run,mcmc_strategy,apply_jitter,ig_a,ig_b
842.0583194771716,0.17668027490618526,8108.288766057507,0.840569441726034,0.10166206008705196,0.9598,0.3149369807656674,mixture,14,ptm-iwls-nuts,250,5000,672.39684009552,010j-ptm-iwls-nuts-ig1_005,20251213-111127,iwls-nuts,FALSE,0.01,0.01
1565.2858519341678,0.06961819694170264,7572.978376235093,0.8169467030986896,0.06310031237928349,0.968,0.20172856640268616,mixture,14,ptm-iwls-nuts,500,5000,1149.7331902980804,010j-ptm-iwls-nuts-ig1_005,20251213-111926,iwls-nuts,FALSE,1,0.005
714.0738528377806,0.18949619469755577,8193.430024887988,0.8509613487977239,0.10469226827277273,0.8684,0.28711534358362056,mixture,15,ptm-iwls-nuts,250,5000,863.906899690628,010j-ptm-iwls-nuts-ig1_005,20251213-111802,iwls-nuts,FALSE,0.01,0.01
1483.391349741376,0.06608438669459772,7576.370984873199,0.8258115564871306,0.07123266614558124,0.8996,0.20810436403832855,mixture,15,ptm-iwls-nuts,500,5000,1078.4610714912417,010j-ptm-iwls-nuts-ig1_005,20251213-112204,iwls-nuts,FALSE,1,0.005
737.1685307463531,0.177068499192216,8041.599596012479,0.8383864953745075,0.09957848460680288,0.8888,0.26928652595017794,mixture,16,ptm-iwls-nuts,250,5000,948.6322581768036,010j-ptm-iwls-nuts-ig1_005,20251213-112132,iwls-nuts,FALSE,0.01,0.01
1496.3106576970372,0.08985036743841202,7605.50893724346,0.8205464157971984,0.06882327680666515,0.8904,0.19139447618797112,mixture,16,ptm-iwls-nuts,500,5000,1211.287768125534,010j-ptm-iwls-nuts-ig1_005,20251213-112641,iwls-nuts,FALSE,1,0.005
795.1035286876615,0.14526425077939786,7865.7898653511,0.8108064288663897,0.09999762020489464,0.9656,0.305307272121065,mixture,17,ptm-iwls-nuts,250,5000,759.752626657486,010j-ptm-iwls-nuts-ig1_005,20251213-112243,iwls-nuts,FALSE,1,0.005
1489.0574407686174,0.10887520229969558,7683.844622952588,0.8023470009773994,0.07441212819107944,0.8758,0.20016530694568016,mixture,17,ptm-iwls-nuts,500,5000,966.8755056858064,010j-ptm-iwls-nuts-ig1_005,20251213-112558,iwls-nuts,FALSE,1,0.005
775.6841096856056,0.14912212432023514,7953.079690961936,0.8251827393727083,0.09315307024747212,0.9448,0.27914303644506816,mixture,18,ptm-iwls-nuts,250,5000,687.0503265857697,010j-ptm-iwls-nuts-ig1_005,20251213-112318,iwls-nuts,FALSE,1,0.005
1508.2816182097126,0.09399873036696524,7677.462721195587,0.8121440847916765,0.07074891907907636,0.9186,0.2048474795599307,mixture,18,ptm-iwls-nuts,500,5000,1082.0391318798063,010j-ptm-iwls-nuts-ig1_005,20251213-112957,iwls-nuts,FALSE,0.01,0.01
701.5145592385429,0.12225221248392644,7773.167989310532,0.8332032918723828,0.09924168440455584,0.9464,0.2946602824268939,mixture,19,ptm-iwls-nuts,250,5000,812.4917409420013,010j-ptm-iwls-nuts-ig1_005,20251213-113015,iwls-nuts,FALSE,0.01,0.01
