kld_kde,kld_kde_floor,mad_kde,kld_gaussian,mad_gaussian,data,seed,nobs
0.018327663339471913,0.018327663339471913,0.025793892480597172,0.008151130145662207,0.02573334754702301,gaussian,8,100
Inf,0.07197821535275645,0.02504433421249129,0.04729604607695504,0.023143681962701203,ptm,8,100
0.041420132778967673,0.041420132778967673,0.03723146736118028,0.09008187734368822,0.06031908519154662,skewnorm,8,100
Inf,0.05796686389433645,0.018116403606068043,0.24100398620885186,0.060162008728029175,mixture,8,100
0.3446844187023888,0.3446844187023888,0.02274650772784403,0.6680807072020686,0.05515392682157255,u-shaped,8,100
0.09397449367777695,0.09397449367777695,0.012542635656914667,0.18472043278066622,0.03627302402331256,unif,8,100
0.00911374061268941,0.00911374061268941,0.018855606232422106,0.0027903404375357868,0.018664833340300842,gaussian,8,500
0.01340096990653771,0.01340096990653771,0.008234585318316296,0.038551584517420114,0.02495531162141596,ptm,8,500
0.008332747846082622,0.008332747846082622,0.005969196030071308,0.07802205085915559,0.039053673217295304,skewnorm,8,500
0.014631295737731512,0.014631295737731512,0.009717664253783793,0.24060508589392954,0.05889986242533635,mixture,8,500
0.23855478707717095,0.23855478707717095,0.018107621479688602,0.6666717113779332,0.05816558223874473,u-shaped,8,500
0.046264377704774214,0.046264377704774214,0.006226188956770531,0.1843545877381798,0.03258340967611711,unif,8,500
0.119372792674813,0.119372792674813,0.03493054392351328,7.551348089781701e-4,0.013583803888266004,gaussian,9,25
0.15851335530898464,0.15851335530898464,0.07877854097533984,0.2133939262716785,0.08602419162773045,ptm,9,25
Inf,0.12569896709129413,0.050527427681851124,0.11134149292618797,0.04280002758295301,skewnorm,9,25
0.18311211805564842,0.18311211805564842,0.1235429428115136,0.3500936805387131,0.1278969241664022,mixture,9,25
0.5226809123689616,0.5226809123689616,0.046753485157366693,0.6114162089442938,0.07281556385440616,u-shaped,9,25
0.2503055960996065,0.2503055960996065,0.10037833736862833,0.2294220931775852,0.08840413878902169,unif,9,25
0.052449291439721796,0.052449291439721796,0.04180920590647707,0.004163656314987155,0.026912466756246572,gaussian,9,50
Inf,0.09326170567327627,0.020137513686087766,0.2019955831695714,0.05842380730186357,ptm,9,50
0.05856830299485108,0.05856830299485108,0.034485561781367594,0.0879641491503764,0.02324336514523462,skewnorm,9,50
Inf,0.07236175915564609,0.03452710062964387,0.24790820230693827,0.06796296747409268,mixture,9,50
0.38617302985710444,0.38617302985710444,0.04507197462522073,0.6102452277415619,0.06980736621408948,u-shaped,9,50
0.14339689262194408,0.14339689262194408,0.03298438156385903,0.1795613800987931,0.02446726818708829,unif,9,50
0.025530303419075442,0.025530303419075442,0.028483608249512068,0.0016040797729866007,0.015900194789620518,gaussian,9,100
0.027491036457966203,0.027491036457966203,0.014654288876946801,0.19609774727007442,0.05797262090058066,ptm,9,100
0.04473691104682759,0.04473691104682759,0.018961771906497785,0.08406037685990293,0.024860247918128613,skewnorm,9,100
Inf,0.05342900943827198,0.020637260536577832,0.24296815129121266,0.0631419598972796,mixture,9,100
0.28243831778732914,0.28243831778732914,0.026943988772576425,0.5980146201298399,0.062401468364678615,u-shaped,9,100
0.09933738177720618,0.09933738177720618,0.028635610075297895,0.17339571342409968,0.028959854694106,unif,9,100
0.0033529401449266874,0.0033529401449266874,0.004582301216363035,-1.0078818852849002e-4,0.006543527742657684,gaussian,9,500
0.0022002162715009936,0.0022002162715009936,0.0043424397462423206,0.19598900496855937,0.05883339806647859,ptm,9,500
Inf,0.055350874859796326,0.008113034217575144,0.0822251773438244,0.037142909448164875,skewnorm,9,500
0.007402558266946655,0.007402558266946655,0.007082692162061403,0.2423023433717566,0.05953185207439878,mixture,9,500
0.20904096389515892,0.20904096389515892,0.01359942274029087,0.5932489000905499,0.05949140057057202,u-shaped,9,500
0.051540215403320655,0.051540215403320655,0.006035104112241215,0.16875107270206227,0.034628957156567,unif,9,500
Inf,0.06544540510713495,0.07615586428507713,0.07226680784750336,0.09157129746359953,gaussian,10,25
Inf,0.17108352570266014,0.05105305780870853,0.14695232405732953,0.05199130636099139,ptm,10,25
Inf,0.49810345584829285,0.040747352241298114,0.16281570023966943,0.04003354950808657,skewnorm,10,25
Inf,0.06627756539724822,0.043778703483423685,0.2346484102026318,0.06945475615218358,mixture,10,25
0.47607354015584624,0.47607354015584624,0.07931695471274684,0.6771528295271848,0.07937176264718705,u-shaped,10,25
0.1844659249042794,0.1844659249042794,0.055442562609680876,0.3045516948066699,0.07892291146680225,unif,10,25
Inf,0.12334929409254125,0.09116634919739003,0.11634974640669725,0.10096028637180847,gaussian,10,50
Inf,0.28126650636784156,0.01905256165987887,0.14068933141227005,0.03570711088928537,ptm,10,50
Inf,0.4406272385053157,0.04169724610048481,0.16360622164971597,0.05646652934797662,skewnorm,10,50
0.037730897378990304,0.037730897378990304,0.028033086159709186,0.22908237959346195,0.06860563526726558,mixture,10,50
0.37228678944708216,0.37228678944708216,0.08673372335506944,0.6791131794550673,0.08027291573957651,u-shaped,10,50
0.12708360742788202,0.12708360742788202,0.03966203906876647,0.21274193742799527,0.05255914529535604,unif,10,50
0.015227596350362653,0.015227596350362653,0.036260216312952606,0.02010041431581472,0.03950798710493771,gaussian,10,100
Inf,0.16366776929671725,0.018510265759709255,0.15515476864794706,0.020705979034485632,ptm,10,100
Inf,0.1459962444463688,0.03280384697037393,0.15823056437105623,0.051432947307265574,skewnorm,10,100
0.04639573368407413,0.04639573368407413,0.052880662297490014,0.24115060176153338,0.06614787802721214,mixture,10,100
0.2979404734352548,0.2979404734352548,0.022066128556624917,0.6302774221614432,0.054528533269016424,u-shaped,10,100
0.13600708939796666,0.13600708939796666,0.052341539015230906,0.22924159349588832,0.06007534206768529,unif,10,100
Inf,0.01427464405902386,0.01417178222481235,-5.585882768460422e-5,0.0035598868527513938,gaussian,10,500
Inf,0.02376248539438238,0.011546890203598222,0.14655183234608382,0.025913007121308753,ptm,10,500
0.018510406676895425,0.018510406676895425,0.011136250162054252,0.08924840307194028,0.03639120070260665,skewnorm,10,500
0.018161538792524468,0.018161538792524468,0.012720219891324191,0.2258169090839914,0.05680525033280584,mixture,10,500
0.20262017680488423,0.20262017680488423,0.010966556236679931,0.6271954178840881,0.05572006408178546,u-shaped,10,500
0.054695948101293475,0.054695948101293475,0.005832850984957438,0.18815057370724592,0.035827367405073356,unif,10,500
Inf,0.16348459663135906,0.09891327939313997,0.1545822297250379,0.09916863345973301,gaussian,11,25
