kld_test,mad_test,run,in_hdi_cdf,in_hdi_prob,in_ci_cdf,in_ci_prob,width_hdi_cdf,width_hdi_prob,width_ci_cdf,width_ci_prob
0.00279814713124153,0.01172374825868582,dummy-19p7p3zh,NA,NA,NA,NA,NA,NA,NA,NA
0.11272107760845956,0.04167627160131441,dummy-1a1dpjv1,NA,NA,NA,NA,NA,NA,NA,NA
0.03309321893201809,0.03962968673455281,dummy-1a3ekaz0,NA,NA,NA,NA,NA,NA,NA,NA
0.04717781067468134,0.03862840159645196,dummy-1aqlbe32,NA,NA,NA,NA,NA,NA,NA,NA
0.1091516567209663,0.04586426151280871,dummy-1asfhkd4,NA,NA,NA,NA,NA,NA,NA,NA
0.01228255826414631,0.02546707264001654,dummy-1b0afaa7,NA,NA,NA,NA,NA,NA,NA,NA
0.05255077325719387,0.05120178446656389,dummy-1b17fmyh,NA,NA,NA,NA,NA,NA,NA,NA
0.07148941646598071,0.03264848102802514,dummy-1b3i1gmo,NA,NA,NA,NA,NA,NA,NA,NA
0.26578818342449434,0.07428866291010916,dummy-1b858kkx,NA,NA,NA,NA,NA,NA,NA,NA
0.08978544069389391,0.06490266406509121,dummy-1bfs5nzv,NA,NA,NA,NA,NA,NA,NA,NA
0.0653579088701739,0.04364109963687551,dummy-1bldp9wf,NA,NA,NA,NA,NA,NA,NA,NA
0.01048662600659909,0.01547819652367336,dummy-1c59xvag,NA,NA,NA,NA,NA,NA,NA,NA
0.01426849398204573,0.03018445995738674,dummy-1chop1aq,NA,NA,NA,NA,NA,NA,NA,NA
0.00546952680107572,0.01854977426525412,dummy-1cidtsmx,NA,NA,NA,NA,NA,NA,NA,NA
0.5962478340781889,0.10710464702353,dummy-1cphk8qo,NA,NA,NA,NA,NA,NA,NA,NA
0.00267094381135104,0.01349596154784008,dummy-1dqur92y,NA,NA,NA,NA,NA,NA,NA,NA
0.05747832738327236,0.05096457507307844,dummy-1dtd2skh,NA,NA,NA,NA,NA,NA,NA,NA
0.06090704145071356,0.04579296689980827,dummy-1dvjx5gh,NA,NA,NA,NA,NA,NA,NA,NA
0.18226704596913043,0.06890509754035519,dummy-1eeiif8f,NA,NA,NA,NA,NA,NA,NA,NA
0.1318178652314788,0.09745054950343474,dummy-1egowl2a,NA,NA,NA,NA,NA,NA,NA,NA
0.01484980292259528,0.02582699689094761,dummy-1eu80330,NA,NA,NA,NA,NA,NA,NA,NA
0.00788723734156495,0.0219740597676908,dummy-1f9xei3p,NA,NA,NA,NA,NA,NA,NA,NA
0.03817426547766378,0.05352109092404612,dummy-1fqe9vn9,NA,NA,NA,NA,NA,NA,NA,NA
0.01255164156538608,0.03432826160411689,dummy-1fqn9gra,NA,NA,NA,NA,NA,NA,NA,NA
0.4562462862613793,0.04604587787374648,dummy-1g5wmzk1,NA,NA,NA,NA,NA,NA,NA,NA
0.22137457485301976,0.10940157912529584,dummy-1g6f0ptt,NA,NA,NA,NA,NA,NA,NA,NA
0.1211000764832222,0.01707592309415233,dummy-1gfqwece,NA,NA,NA,NA,NA,NA,NA,NA
0.18216058680968897,0.06681701752870751,dummy-1h4ptdn4,NA,NA,NA,NA,NA,NA,NA,NA
0.24180802417038183,0.06816154012961703,dummy-1ic366c7,NA,NA,NA,NA,NA,NA,NA,NA
0.0479935394069544,0.03795901885994549,dummy-1iwb7fnr,NA,NA,NA,NA,NA,NA,NA,NA
0.11579913595361116,0.06067033415235235,dummy-1jz5qzx3,NA,NA,NA,NA,NA,NA,NA,NA
0.01358699669642405,0.01564410101329603,dummy-1k8407y8,NA,NA,NA,NA,NA,NA,NA,NA
0.1118903713107596,0.0747972819624642,dummy-1kazugen,NA,NA,NA,NA,NA,NA,NA,NA
3.0806712441836637,0.1132084757548712,dummy-1kjtorml,NA,NA,NA,NA,NA,NA,NA,NA
0.21459652922786496,0.06760680389028613,dummy-1l1td8th,NA,NA,NA,NA,NA,NA,NA,NA
0.00248299165789262,0.01289743821211947,dummy-1l1xlvql,NA,NA,NA,NA,NA,NA,NA,NA
0.01067503690559783,0.02409904415987665,dummy-1l3td3yx,NA,NA,NA,NA,NA,NA,NA,NA
0.01125365305600638,0.02556956006418139,dummy-1l4fzt8g,NA,NA,NA,NA,NA,NA,NA,NA
0.01659120520989008,0.0355349239688287,dummy-1l895tvp,NA,NA,NA,NA,NA,NA,NA,NA
0.1446771956824579,0.04352763553198656,dummy-1lpvsscm,NA,NA,NA,NA,NA,NA,NA,NA
0.03374075234866362,0.03510230704605861,dummy-1ly56y5x,NA,NA,NA,NA,NA,NA,NA,NA
0.11207222976365842,0.06893420502246433,dummy-1mhgk6j9,NA,NA,NA,NA,NA,NA,NA,NA
0.1188599753664586,0.05319529468658748,dummy-1mnp15cx,NA,NA,NA,NA,NA,NA,NA,NA
0.19114351737312923,0.08243752188960075,dummy-1mnqi81b,NA,NA,NA,NA,NA,NA,NA,NA
0.12086664100905084,0.03833895370177584,dummy-1n9mt9u5,NA,NA,NA,NA,NA,NA,NA,NA
0.09568302469138557,0.04977057615621651,dummy-1oaqtxga,NA,NA,NA,NA,NA,NA,NA,NA
0.09548382057273216,0.05432207630262467,dummy-1ofc13q9,NA,NA,NA,NA,NA,NA,NA,NA
0.00296329731765022,0.01983435335022987,dummy-1oihoj5a,NA,NA,NA,NA,NA,NA,NA,NA
0.14816418667870393,0.09263782013656968,dummy-1okkeeu8,NA,NA,NA,NA,NA,NA,NA,NA
0.00458902832591402,0.01415424856515995,dummy-1oonu209,NA,NA,NA,NA,NA,NA,NA,NA
0.06782215643595399,0.07200668908959443,dummy-1owiz7fh,NA,NA,NA,NA,NA,NA,NA,NA
0.1708423049223422,0.07247505792329101,dummy-1ox9zi8z,NA,NA,NA,NA,NA,NA,NA,NA
0.01565541499638447,0.02584089746825978,dummy-1p75mwro,NA,NA,NA,NA,NA,NA,NA,NA
0.13599495353554997,0.04704376400954734,dummy-1qaf6849,NA,NA,NA,NA,NA,NA,NA,NA
0.10716320606859872,0.05623547433057244,dummy-1qdng8ms,NA,NA,NA,NA,NA,NA,NA,NA
0.27297139093835066,0.08496656737571505,dummy-1qrj7b1t,NA,NA,NA,NA,NA,NA,NA,NA
0.13409174111708114,0.07016850216503456,dummy-1rcetno0,NA,NA,NA,NA,NA,NA,NA,NA
0.07536360190991515,0.06388301839863265,dummy-1s8n3bpe,NA,NA,NA,NA,NA,NA,NA,NA
0.12007967571820737,0.02907059943013047,dummy-1soztimv,NA,NA,NA,NA,NA,NA,NA,NA
0.06562520514601032,0.04497219575051661,dummy-1sxox4lt,NA,NA,NA,NA,NA,NA,NA,NA
0.09629299343669352,0.04452203491623612,dummy-1t05yl2l,NA,NA,NA,NA,NA,NA,NA,NA
0.06535919402992531,0.04808502348824738,dummy-1t5e2r7v,NA,NA,NA,NA,NA,NA,NA,NA
0.01684878061037508,0.02992027468627794,dummy-1tdsrr0q,NA,NA,NA,NA,NA,NA,NA,NA
0.00989329468989496,0.024454418612002,dummy-1u69boe4,NA,NA,NA,NA,NA,NA,NA,NA
0.02306435481683494,0.03291453715862091,dummy-1uqjpg5k,NA,NA,NA,NA,NA,NA,NA,NA
0.2072032040914825,0.03137759995309227,dummy-1v8ahqgi,NA,NA,NA,NA,NA,NA,NA,NA
