variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,data_type,data_seed,model,ntrain,ntest,job,run,acceptance_prob,position_moved,kernel,mcmc_strategy,apply_jitter
s(x0)_coef,14945.504770576144,17408.454739765097,14776.910265684042,16928.473110344305,1.000468098396721,1.0001312262317923,2754.101884749373,2723.0339181059267,3207.965120305064,3119.5158955699185,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
s(x0)_variance,8627.926883332728,8627.926883332728,11302.590369286449,11302.590369286449,1.0008657631537965,1.0008657631537965,1589.922191028843,2082.7992039376213,1589.922191028843,2082.7992039376213,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
s(x1)_coef,16152.669451561602,17754.010860197333,17050.205488247728,18550.461888798716,1.000264780446358,1.000039552649553,2976.5536904354753,3141.948284208868,3271.642913539773,3418.409938986789,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
s(x1)_variance,11978.739038338716,11978.739038338716,14416.855158764134,14416.855158764134,0.9999487065907862,0.9999487065907862,2207.3973591952335,2656.684305710498,2207.3973591952335,2656.684305710498,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
s(x2)_coef,17056.69827113333,17632.85763879177,17323.701974923286,18972.45874899808,1.000303140801899,1.0000492919453765,3143.144750026316,3192.3471968577346,3249.3172497004743,3496.1739466850436,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
s(x2)_variance,18807.632050276356,18807.632050276356,19087.432307148887,19087.432307148887,1.0003372896039535,1.0003372896039535,3465.8002973118732,3517.3608452247886,3465.8002973118732,3517.3608452247886,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
s(x3)_coef,15886.9248588444,17155.492611367565,17834.73799445922,18711.746479960355,1.0004661816844864,1.0000767597225275,2927.5832678971015,3286.5190087961064,3161.350202623498,3448.130861987918,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
s(x3)_variance,15342.1144976515,15342.1144976515,18541.718102977982,18541.718102977982,1.0002133197482348,1.0002133197482348,2827.187646228546,3416.798666742834,2827.187646228546,3416.798666742834,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
scale_intercept,18901.56455232248,18901.56455232248,20083.210490449,20083.210490449,1.0001725373566701,1.0001725373566701,3483.109828498385,3700.8591354142495,3483.109828498385,3700.8591354142495,ptm,25,gaussian-iwls,1000,5000,007-gaussian,20250903-190208,NA,NA,NA,NA,NA
g(x0)_coef,9477.397516210052,16544.127318285966,9653.551674580962,14150.186502709752,1.0004990828892206,1.0001414976289549,3167.0598755649485,3225.925272519778,5528.547443152339,4728.5647592435025,ptm,25,gaussian-iwls,250,5000,007-gaussian,20250903-185342,NA,NA,NA,NA,NA
