waic,kld,log_score,cdf_mad,crps,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,run,job,kld_manual,log_score_manual,bootstrap_seconds,mcmc_strategy,apply_jitter
63248505.98983178,53.15028756334683,273859.6931201255,0.4999749903430441,16099594314537196e68,1,0.9999389952671628,ptm,35,ptm-iwls-nuts,250,5000,4749.684280395508,20250906-183034,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
139410188.06103596,1.530783142435982,15762.17101557128,0.4026688701073891,3688852087147799e73,1,0.9988208521423662,ptm,35,ptm-iwls-nuts,500,5000,1149.2197451591492,20250906-123532,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
182960823.03487945,108.52023566884044,550702.2816257281,0.4969703044593397,2011496048535695e65,0.9958,0.9957627676903325,ptm,36,ptm-iwls-nuts,1000,5000,14241.0159842968,20250906-122029,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
916.8116362072936,0.07414846701795759,9052.53673353979,0.0904979255614402,0.9426533854400404,0.9872,0.3085775324514394,ptm,36,ptm-iwls-nuts,250,5000,639.2029991149902,20250831-122301,009-ptm-jitter,NA,NA,NA,iwls-nuts,NA
87431010.66936031,108.66028064673972,551402.5065152245,0.49722720620530153,10964827565374243e66,0.9964,0.9963391388799157,ptm,36,ptm-iwls-nuts,500,5000,509.1658890247345,20250906-081934,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
250473347.70128536,74.88941452085434,382343.05543358973,0.4998343775215738,4804819435722926e57,0.9998,0.9999374728577216,ptm,37,ptm-iwls-nuts,1000,5000,1033.5790569782257,20250906-110244,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
61846575.663386926,70.56766355520769,360734.30060535646,0.499890983003153,12170624720010998e55,0.9986,0.998739710477856,ptm,37,ptm-iwls-nuts,250,5000,4568.787649869919,20250906-162839,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
1772.7742013293855,0.07733412589909004,8919.72037435845,0.08276457005306448,0.9298570878767144,0.9052,0.23560155474623048,ptm,37,ptm-iwls-nuts,500,5000,811.2844045162201,20250831-170043,009-ptm-jitter,NA,NA,NA,iwls-nuts,NA
225821384.39232215,92.64967539336754,471426.2391408051,0.4900956635375244,2777222091541965e52,1,0.9999383257597176,ptm,38,ptm-iwls-nuts,1000,5000,771.5645327568054,20250906-213635,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
711.0364306519797,0.10778309616166566,8036.506569145229,0.11689771047585495,0.7107773925802251,0.9,0.3382531607053822,ptm,38,ptm-iwls-nuts,250,5000,616.5710830688477,20250831-140444,009-ptm-jitter,NA,NA,NA,iwls-nuts,NA
117803829.47702669,71.08686823011959,363612.2033245653,0.4998038952891647,547222808189889e51,1,0.9999079890661792,ptm,38,ptm-iwls-nuts,500,5000,505.64777421951294,20250906-120249,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
187912610.10594937,120.06293471586368,608391.4176972433,0.5040505007494409,11766933077862677e51,0.9868,0.9867328114104325,ptm,39,ptm-iwls-nuts,1000,5000,14213.413962841034,20250906-163005,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
58321606.0204089,83.22171265056008,424185.3073707254,0.4999881010789693,28521138632085306e41,0.9992,0.9991328154453364,ptm,39,ptm-iwls-nuts,250,5000,4497.5132892131805,20250906-201915,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
