index,variable,kernel,error_code,error_msg,phase,count,relative,run,model
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,60,0.003,dummy-0boglk8w,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,49,0.001225,dummy-0boglk8w,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,11,5.5e-4,dummy-0boglk8w,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0boglk8w,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-0boglk8w,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-0boglk8w,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,73,0.00365,dummy-0cz6vbsq,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,2,5e-5,dummy-0cz6vbsq,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,10,5e-4,dummy-0cz6vbsq,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0cz6vbsq,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,73,0.00365,dummy-0cz6vbsq,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,2,5e-5,dummy-0cz6vbsq,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,10,5e-4,dummy-0cz6vbsq,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0cz6vbsq,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-0cz6vbsq,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-0cz6vbsq,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,64,0.0032,dummy-0dc68559,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,33,8.2499999999999e-4,dummy-0dc68559,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,11,5.5e-4,dummy-0dc68559,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0dc68559,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,64,0.0032,dummy-0dc68559,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,33,8.2499999999999e-4,dummy-0dc68559,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,11,5.5e-4,dummy-0dc68559,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0dc68559,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-0dc68559,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-0dc68559,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,44,0.0022,dummy-0e6xkjnc,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,0,0,dummy-0e6xkjnc,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,22,0.00109999999999999,dummy-0e6xkjnc,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0e6xkjnc,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,44,0.0022,dummy-0e6xkjnc,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,0,0,dummy-0e6xkjnc,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,22,0.00109999999999999,dummy-0e6xkjnc,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0e6xkjnc,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-0e6xkjnc,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-0e6xkjnc,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,69,0.00345,dummy-0eapozez,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,138,0.00345,dummy-0eapozez,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,5,2.5e-4,dummy-0eapozez,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0eapozez,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,69,0.00345,dummy-0eapozez,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,138,0.00345,dummy-0eapozez,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,5,2.5e-4,dummy-0eapozez,ptm
