kernel,error_code,error_msg,phase,count,relative,model,job,run,fold,a,b,nparam,trafo_target_slope,index
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-145234,2,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,88,0.0044,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164321,3,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164321,3,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,166,0.0083,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164321,3,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164321,3,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,98,0.0049,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164958,4,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164958,4,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,216,0.0108,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164958,4,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164958,4,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,88,0.00439999999999999,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184022,5,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184022,5,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,110,0.0055,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184022,5,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184022,5,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,87,0.00435,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184411,6,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184411,6,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,93,0.00465,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184411,6,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184411,6,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,101,0.00505,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204522,7,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204522,7,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,204,0.0102,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204522,7,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204522,7,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,94,0.00469999999999999,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204445,8,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204445,8,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,156,0.0078,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204445,8,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204445,8,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,90,0.0045,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224452,9,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224452,9,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,110,0.0055,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224452,9,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224452,9,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,91,0.00455,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224604,10,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224604,10,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,108,0.0054,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224604,10,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224604,10,-7,7,40,identity,NA
