data_seed,data_type,ntrain,mcmc_strategy,apply_jitter
49,skewnorm,1000,iwls-nuts,FALSE
49,ptm,250,iwls-nuts,FALSE
49,ptm,500,iwls-nuts,FALSE
49,ptm,1000,iwls-nuts,FALSE
50,gaussian,250,iwls-nuts,FALSE
50,gaussian,500,iwls-nuts,FALSE
50,gaussian,1000,iwls-nuts,FALSE
50,mixture,250,iwls-nuts,FALSE
50,mixture,500,iwls-nuts,FALSE
50,mixture,1000,iwls-nuts,FALSE
50,skewnorm,250,iwls-nuts,FALSE
50,skewnorm,500,iwls-nuts,FALSE
50,skewnorm,1000,iwls-nuts,FALSE
50,ptm,250,iwls-nuts,FALSE
50,ptm,500,iwls-nuts,FALSE
50,ptm,1000,iwls-nuts,FALSE
51,gaussian,250,iwls-nuts,FALSE
51,gaussian,500,iwls-nuts,FALSE
51,gaussian,1000,iwls-nuts,FALSE
51,mixture,250,iwls-nuts,FALSE
51,mixture,500,iwls-nuts,FALSE
51,mixture,1000,iwls-nuts,FALSE
51,skewnorm,250,iwls-nuts,FALSE
51,skewnorm,500,iwls-nuts,FALSE
51,skewnorm,1000,iwls-nuts,FALSE
51,ptm,250,iwls-nuts,FALSE
51,ptm,500,iwls-nuts,FALSE
51,ptm,1000,iwls-nuts,FALSE
52,gaussian,250,iwls-nuts,FALSE
52,gaussian,500,iwls-nuts,FALSE
52,gaussian,1000,iwls-nuts,FALSE
52,mixture,250,iwls-nuts,FALSE
52,mixture,500,iwls-nuts,FALSE
52,mixture,1000,iwls-nuts,FALSE
52,skewnorm,250,iwls-nuts,FALSE
52,skewnorm,500,iwls-nuts,FALSE
52,skewnorm,1000,iwls-nuts,FALSE
52,ptm,250,iwls-nuts,FALSE
52,ptm,500,iwls-nuts,FALSE
52,ptm,1000,iwls-nuts,FALSE
53,gaussian,250,iwls-nuts,FALSE
